configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,stlsq_threshold,n_frequencies,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,2,1,4.0,4.0,0,0.0,finite_difference,success,,8,8,100.0,0.08857826329767704,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)""]","[[241.33463535082683, 43.38991377466672, -250.64291041944676, -44.29799952754003], [250.14663948298056, 43.21801846746315, -240.8945797772968, -42.329711466325904]]",(x0)' =  241.335 sin(1 x0) +  43.390 cos(1 x0) + -250.643 sin(1 x1) + -44.298 cos(1 x1) | (x1)' =  250.147 sin(1 x0) +  43.218 cos(1 x0) + -240.895 sin(1 x1) + -42.330 cos(1 x1)
2,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,8,8,100.0,0.09066318720579147,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)""]","[[241.8507025561441, 43.03373654019132, -251.06084338177342, -43.92236232161555], [250.58583457061565, 42.74624166789756, -241.43099025382605, -41.8778011997845]]",(x0)' =  241.851 sin(1 x0) +  43.034 cos(1 x0) + -251.061 sin(1 x1) + -43.922 cos(1 x1) | (x1)' =  250.586 sin(1 x0) +  42.746 cos(1 x0) + -241.431 sin(1 x1) + -41.878 cos(1 x1)
3,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,8,8,100.0,0.0952750351279974,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)""]","[[246.60068730424055, 39.164371790253426, -254.8848385876466, -39.87379016990197], [254.55949167549562, 37.8737575879875, -246.31679184548415, -37.18447686349897]]",(x0)' =  246.601 sin(1 x0) +  39.164 cos(1 x0) + -254.885 sin(1 x1) + -39.874 cos(1 x1) | (x1)' =  254.559 sin(1 x0) +  37.874 cos(1 x0) + -246.317 sin(1 x1) + -37.184 cos(1 x1)
4,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,2,2,8.0,8.0,0,0.0,finite_difference,success,,8,8,100.0,0.08028989844024181,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)""]","[[111.62274779101453, 19.167280070307733, -129.18815176654192, -20.689330962513267], [128.74937976876208, 19.1944768150277, -111.31374940984666, -17.67875742749562]]",(x0)' =  111.623 sin(1 x0) +  19.167 cos(1 x0) + -129.188 sin(1 x1) + -20.689 cos(1 x1) | (x1)' =  128.749 sin(1 x0) +  19.194 cos(1 x0) + -111.314 sin(1 x1) + -17.679 cos(1 x1)
5,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,8,8,100.0,0.09071622788906097,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)""]","[[111.96655746874342, 19.06211656719803, -129.36854809093776, -20.55457625676329], [128.94452425076759, 18.979327609935986, -111.67017504464448, -17.492862138387608]]",(x0)' =  111.967 sin(1 x0) +  19.062 cos(1 x0) + -129.369 sin(1 x1) + -20.555 cos(1 x1) | (x1)' =  128.945 sin(1 x0) +  18.979 cos(1 x0) + -111.670 sin(1 x1) + -17.493 cos(1 x1)
6,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,8,8,100.0,0.09580078348517418,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)""]","[[115.1149733598153, 17.781055473418256, -130.93078221690592, -18.994565780217627], [130.60930099072792, 16.734598921422798, -114.89719948425707, -15.525508771044079]]",(x0)' =  115.115 sin(1 x0) +  17.781 cos(1 x0) + -130.931 sin(1 x1) + -18.995 cos(1 x1) | (x1)' =  130.609 sin(1 x0) +  16.735 cos(1 x0) + -114.897 sin(1 x1) + -15.526 cos(1 x1)
7,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,2,5,20.0,20.0,0,0.0,finite_difference,success,,4,8,50.0,0.07729829289019108,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)""]","[[23.227874376574338, 0.0, -48.842533742564434, 0.0], [48.718976851327824, 0.0, -23.22627719802455, 0.0]]",(x0)' =  23.228 sin(1 x0) + -48.843 sin(1 x1) | (x1)' =  48.719 sin(1 x0) + -23.226 sin(1 x1)
8,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,8,50.0,0.08892021514475346,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)""]","[[23.470902537095736, 0.0, -49.103720188180425, 0.0], [48.97226394352181, 0.0, -23.464993238137097, 0.0]]",(x0)' =  23.471 sin(1 x0) + -49.104 sin(1 x1) | (x1)' =  48.972 sin(1 x0) + -23.465 sin(1 x1)
9,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,8,50.0,0.09303459152579308,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)""]","[[25.881524885647952, 0.0, -51.331241836124796, 0.0], [51.15363606143389, 0.0, -25.848254346253174, 0.0]]",(x0)' =  25.882 sin(1 x0) + -51.331 sin(1 x1) | (x1)' =  51.154 sin(1 x0) + -25.848 sin(1 x1)
10,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,1,4.0,12.0,0,0.0,finite_difference,success,,28,32,87.5,0.21308093145489693,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[346.12244069203246, 64.71481716244459, -558.7577661469444, -91.79330059071523, 339.0435763231283, 26.989603986831206, -137.9295154870378, 0.0], [279.10458252278005, 25.438209206465825, -434.44523596251514, 0.0, 353.209734350673, -31.316254797573702, -201.80091332187823, 6.127194953848048], [199.65007955184058, 2.5735021421602977, -354.79012950971844, 19.331811293781538, 442.82531681199083, 0.0, -284.3040280073961, -21.614485491279844], [138.90214477086263, 0.0, -346.99588525209, -20.0866286043692, 570.174991250817, 77.11143855588483, -350.9638447897085, -56.62541522793716]]",(x0)' =  346.122 sin(1 x0) +  64.715 cos(1 x0) + -558.758 sin(1 x1) + -91.793 cos(1 x1) +  339.044 sin(1 x2) +  26.990 cos(1 x2) + -137.930 sin(1 x3) | (x1)' =  279.105 sin(1 x0) +  25.438 cos(1 x0) + -434.445 sin(1 x1) +  353.210 sin(1 x2) + -31.316 cos(1 x2) + -201.801 sin(1 x3) +  6.127 cos(1 x3) | (x2)' =  199.650 sin(1 x0) +  2.574 cos(1 x0) + -354.790 sin(1 x1) +  19.332 cos(1 x1) +  442.825 sin(1 x2) + -284.304 sin(1 x3) + -21.614 cos(1 x3) | (x3)' =  138.902 sin(1 x0) + -346.996 sin(1 x1) + -20.087 cos(1 x1) +  570.175 sin(1 x2) +  77.111 cos(1 x2) + -350.964 sin(1 x3) + -56.625 cos(1 x3)
