degree,n_delays,delay_samples,smooth_window_samples,configuration_35hz,configuration_80hz,completed_trials_35hz,completed_trials_80hz,completed_trials_difference_80_minus_35,all_9_completed_35hz,all_9_completed_80hz,coefficient_cosine_similarity,coefficient_relative_l2_change_from_35hz
3,4,1,9,84,192,9,6,-3,True,False,0.9890918342802064,0.3136310100541064
3,4,2,0,85,193,0,9,9,False,True,0.8273199280656091,0.6246612667091446
3,4,2,5,86,194,0,1,1,False,False,0.9142875144253755,0.4975487332495364
3,4,2,9,87,195,0,1,1,False,False,0.9906368498125396,0.24542824756967555
3,4,5,0,88,196,4,0,-4,False,False,0.8503562028213125,0.54467614281257
3,4,5,5,89,197,4,1,-3,False,False,0.8775481969746801,0.48659920170906024
3,4,5,9,90,198,4,4,0,False,False,0.9978739053935083,0.08881828493461671
3,6,1,0,91,199,0,9,9,False,True,0.9420372217634503,0.7148781663352339
3,6,1,5,92,200,0,9,9,False,True,0.9806861749469071,0.5630989408413417
3,6,1,9,93,201,0,0,0,False,False,0.9732681569114486,0.5820159548676708
3,6,2,0,94,202,3,9,6,False,True,0.6821479717411575,0.7751930915444636
3,6,2,5,95,203,4,9,5,False,True,0.7971122519208483,0.6859758423881347
3,6,2,9,96,204,7,2,-5,False,False,0.7947802262470787,0.6818649347418265
3,6,5,0,97,205,1,5,4,False,False,0.8287704159626557,0.5944311421161792
3,6,5,5,98,206,1,5,4,False,False,0.8633084811505174,0.518624219039277
3,6,5,9,99,207,3,2,-1,False,False,0.9966090388663796,0.11043534249236296
3,8,1,0,100,208,0,0,0,False,False,0.9223402310087535,0.8386530698430877
3,8,1,5,101,209,0,3,3,False,False,0.9719768659640363,0.7030124907441031
3,8,1,9,102,210,0,0,0,False,False,0.9199837263338291,0.8123298031194955
3,8,2,0,103,211,2,5,3,False,False,0.5671672828677984,0.8517827612001035
3,8,2,5,104,212,2,3,1,False,False,0.6728367440762265,0.7960326777460796
3,8,2,9,105,213,2,1,-1,False,False,0.4327992701023882,0.9059542872132856
3,8,5,0,106,214,5,6,1,False,False,0.8204428023645695,0.6158849934753852
3,8,5,5,107,215,5,6,1,False,False,0.8590856092820958,0.5293577016400131
3,8,5,9,108,216,4,6,2,False,False,0.9971360548141479,0.1056278866098395
